Company,Address,Website,Linkedin
Milestone Software Technologies,https://milestonesoftwaretechnologies.co.in/,"1st floor, KRITI Building, 8, SGR Dental College Rd, beside avy mart, Munnekollala, Marathahalli, Bengaluru, Karnataka 560037 ",[]
SMARTRIED TECHNOLOGIES,https://www.smartried.com/,"4th Floor, GR Arcade, 92/9, Outer Ring Rd, opposite Aishwarya Apartments, PR Layout, Ayyappa Layout, Chandra Layout, Marathahalli, Bengaluru, Karnataka 560037 ",[]
CISCO BGL 17,http://www.cisco.com/,"SEZ Unit Cessna Business Park Varthur Hobli, Village, Kadubeesanahalli, Bengaluru, Karnataka 560103 ",[]
Sunfra Technologies,http://www.sunfra.com/,"9, Martin Towers,1st A Cross, Anantha Ram Reddy Layout, ORR, Marathahalli, behind Vinayaka Skoda Car Showroom, Bengaluru, Karnataka 560037 ",[]
Xeedo Technologies,https://xeedo.in/,"4th Floor, SGR Plaza, Market Bus Stop, HAL Old Airport Rd, above Federal Bank, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037 ","['emailing us directly at Info@xeedo.in', 'dhanpati.sahu@jgdtec.com', 'dhanpati@xeedo.in', 'Email: *****@xeedo.in', 'ansuman.p@xeedo.in', 'adara@xeedo.in']"
STAG Software Private Limited,http://www.stagsoftware.com/,"1st Floor, Block II, 113/1B, SRIT House, ITPL Main Rd, Kundalahalli, Bengaluru, Karnataka 560037 ","['info@stagsoftware.com', 'ash@stagsoftware.com', 'marketing@stagsoftware.com']"
Enkonix Software Services,http://enkonix.in/,"1st Floor, Novel Office, MSR Tech Park, Subbaiah Reddy Colony, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560036 ","['samekeri.vijayakumari@gmail.com', 'pavel.gorbachenko@gmail.com']"
Cobian Software Solutions Pvt ltd.,http://cobian.in/,"Sigma Soft Tech Park, Gamma Block, 18/A, 6th Floor, Varthur Kodi, Bengaluru, Karnataka 560066 ","['venujreddy58@gmail.com', 'support@cobian.in', 'Email: *****@gmail.com', 'afreenappu1998@gmail.com']"
Innobins,https://fb.com/book/innobins/,"1st Floor, ITPL Main Rd, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560037 ","['sales@innobins.com', 'info@innobins.com', 'abusalim982@gmail.com', 'randellbatino@gmail.com', 'anzelm@ncrtvet.co.za', 'sameer@innobins.com']"
Ansys Software Private Limited,http://www.ansys.com/,"2nd floor, Mercury Block, Prestige Tech Park, 2B, Outer Ring Rd, Kadubeesanahalli, Village Varthur, Bengaluru, Karnataka 560103 ","['devakumar.b@ansys.com', 'apache_university_support@ansys.com']"
Soft Suave Technologies,https://www.softsuave.com/,"Gayatri Tech Park (4th floor Plot 183, EPIP, Near iGate, KIADB Industrial Area, Road, 1B, EPIP Zone Whitefield Rd, Kundalahalli, Whitefield, Bengaluru, Karnataka 560066 ","['contact@softsuave.com', 'rameshv1210@gmail.com', ""first '.' last@softsuave.com""]"
VN2 Solutions Pvt. Ltd.,https://www.vn2solutions.com/,"Suite 3, 6th Floor, Gamma Block, Sigma Soft Tech Park, Whitefield Main Rd, Varthur Kodi, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066 ","['info@vn2solutions.com', 'prakashchinna353@gmail.com', ""first '.' last@vn2solutions.com""]"
Neetable Technologies,https://neetable.com/,"4th Floor, Vaswani Presidio, Panathur Main Rd, New Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103 ","['puneet@neetable.com', 'careers@neetable.com', 'Email ID: *****@neetable.com', 'sales28fa926d-c87b-4fa2-92d3-4cf8fbe7ff9@neetable.com']"
Microsoft Corporation (India) Pvt Ltd,https://www.microsoft.com/en-in,"Prestige Business Park, 33, Marathahalli - Sarjapur Outer Ring Rd, Bellandur, Bellandur Amanikere, Bengaluru, Karnataka 560103 ","['EMAIL ID: grievanceofficer@microsoft.com', 'msbrunei@microsoft.com']"
WANKYS,http://www.wankys.com/,"6th Floor, Gamma Block, Sigma Soft Tech Park, Varthur Kodi, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066 ","['info@wankys.com', '243.giri@gmail.com', ""first '.' last@wankys.com"", 'Email: *****@gmail.com', 'Email ID: *****@wankys.com']"
